date from,date to,cat,location,city,event
2012-09-24,,live,Tummelplatz,Graz,"Barcamping 2.012, ""spacetrans'forming"""
2012-09-16,,political actionism,Hauptplatz,Graz,Aufalken
2012-06-18,,impro,Stockwerk,Graz,STIO - Styrian Improvisers Orchestra
2012-06-14,,radio,Radio Helsinki,Graz,Zu Gast bei landlordbeats FM
2012-06-09,,dj,Forum Stadtpark,Graz,10 Jahre g24.at
2012-06-01,,dj,Niesenberger,Graz,3 JAHRE NIESE
2012-04-06,,live,Kino Siska,"Ljubljana, SLO",Dope Beat Rosengarten
2012-03-02,,radio,Radio Helsinki,Graz,mur.sat - space debris
2011-12-31,,dj,Niesenberger,Graz,Silvester im Niesenberger
2011-12-07,,dj,Niesenberger,Graz,noise collage & duck pond SOMMERfest
2011-12-03,,dj,K&K,Köflach,Gut aufgelegt
2011-11-18,,dj,Maria-Hilfer-Platz,Graz,Wonderlend
2011-10-06,,release,moonbootz rec.,,Kraftwerk - Metropolis Retouch
2011-10-01,,perf,rookie gallery,Graz,Sardinen Rave
2011-09-30,,dj,Postgarage,Graz,Elevate Tour Stop
2011-09-24,,dj,Niesenberger,Graz,Niesenberger Inside
2011-09-11,,dj,,Leutschach,Peal Festival
2011-09-09,,dj,Kombüse,Graz,moonbootz rec. Ping-Pong Night
2011-08-08,,rel,moonbootz rec.,,The Kids
2011-06-24,,dj,Niesenberger,Graz,llb-labelnight
2011-06-01,,dj,SUB,Graz,sprngbrk2011
2011-05-31,,rel,moonbootz rec.,Graz,Lost [edizione primavera]
2011-05-06,,dj,Kombüse,Graz,The Rosetti Sisters & moonbootz rec.
2011-04-29,,event,Niesenberger,Graz,moonbootz feat. Kabelton|Lux
2011-04-24,,release,moonbootz rec.,,Pellagra Ringtone
2011-04-10,,impro,Theater im Bahnhof,Graz,"V:NM Festival 2011, Improvising Orchestra"
2011-04-08,,impro,Niesenberger,Graz,"V:NM Festival 2011, Pdicknick (mit Hugh Metcalfe, Michael Pinter-Koschell und Iohannes Zmölnig)"
2011-04-07,2011-04-10,event,,Graz,V:NM Festival 2011
2011-02-25,,dj,Kombüse,Graz,Time To Say Goodbye
